client_id,emp_id,assignment_date
CLT0020,EMP0011,2024-02-02
CLT0031,EMP0030,2024-01-21
CLT0035,EMP0001,2024-03-05
CLT0007,EMP0047,2024-05-11
CLT0007,EMP0047,2024-06-18
CLT0028,EMP0017,2024-04-10
CLT0024,EMP0033,2023-12-15
CLT0016,EMP0049,2024-08-17
CLT0024,EMP0012,2024-08-10
CLT0019,EMP0033,2024-09-09
CLT0011,EMP0007,2024-01-22
CLT0023,EMP0041,2023-12-05
CLT0038,EMP0020,2023-12-29
CLT0028,EMP0041,2024-09-06
CLT0005,EMP0033,2023-12-03
CLT0036,EMP0039,2024-06-17
CLT0031,EMP0013,2024-05-12
CLT0031,EMP0010,2024-02-26
CLT0014,EMP0024,2024-08-13
CLT0012,EMP0049,2024-10-17
