emp_id,dept_id,start_date
EMP0001,DEPT0007,2022-12-05
EMP0002,DEPT0001,2022-11-09
EMP0003,DEPT0003,2023-02-20
EMP0004,DEPT0003,2022-02-27
EMP0005,DEPT0008,2022-09-02
EMP0006,DEPT0007,2024-01-03
EMP0007,DEPT0009,2023-06-11
EMP0008,DEPT0001,2022-03-12
EMP0009,DEPT0005,2023-06-25
EMP0010,DEPT0001,2024-02-26
EMP0011,DEPT0003,2023-08-19
EMP0012,DEPT0006,2024-03-18
EMP0013,DEPT0001,2022-10-17
EMP0014,DEPT0002,2024-09-01
EMP0015,DEPT0007,2023-03-01
EMP0016,DEPT0006,2022-01-21
EMP0017,DEPT0003,2022-09-07
EMP0018,DEPT0006,2023-10-09
EMP0019,DEPT0009,2021-12-24
EMP0020,DEPT0001,2024-06-30
EMP0021,DEPT0009,2023-07-02
EMP0022,DEPT0007,2023-03-28
EMP0023,DEPT0004,2022-09-25
EMP0024,DEPT0002,2023-06-13
EMP0025,DEPT0010,2024-03-28
EMP0026,DEPT0004,2022-02-18
EMP0027,DEPT0001,2023-04-17
EMP0028,DEPT0001,2024-06-04
EMP0029,DEPT0009,2024-05-10
EMP0030,DEPT0007,2023-08-10
EMP0031,DEPT0009,2022-12-25
EMP0032,DEPT0008,2024-04-29
EMP0033,DEPT0006,2024-02-23
EMP0034,DEPT0010,2024-04-16
EMP0035,DEPT0004,2022-11-08
EMP0036,DEPT0006,2024-01-25
EMP0037,DEPT0009,2023-02-04
EMP0038,DEPT0007,2024-05-16
EMP0039,DEPT0009,2022-05-31
EMP0040,DEPT0006,2024-07-04
EMP0041,DEPT0008,2023-02-07
EMP0042,DEPT0001,2021-12-04
EMP0043,DEPT0003,2023-07-22
EMP0044,DEPT0003,2022-10-10
EMP0045,DEPT0001,2022-07-28
EMP0046,DEPT0003,2023-08-24
EMP0047,DEPT0002,2022-06-09
EMP0048,DEPT0003,2022-04-11
EMP0049,DEPT0007,2023-09-15
EMP0050,DEPT0004,2024-08-09
